review_id,product_title,text,score,sentiment,source
A1BGCOJQPGZTIW,B000002OJ4,"Well this album is usually regarded, with the exception of &quot;Victim Of Love&quot;, as Elton's weakest effort. For the most part, I agree, but even though most of the material is faceless, I feel there still is some decent pop music here. &quot;Heartache All Over The World&quot; was the single, a",2.0,negative,SNAP Amazon Digital Music 5-core
A3Q67QA601KOU6,B004BSWC0I,"Jumping back after listening to the first offering on KMAG Yoyo,""Stomp & Holler"" I ran for the refrigerator and an unopened bottle of Jack Daniels Black, knowing it was the only way to listen to an album this heart felt. Hayes Carll's guitar and singing introduce everyone to themselves plainly and w",5.0,positive,SNAP Amazon Digital Music 5-core
A1UH3S1GVFSMFH,B00005AAFJ,"Staind latest effort is true rock formula, losing their style from their previous efforts of &quot;Dysfunction&quot; and &quot;Torment&quot;.I think Fred Durst influence has ruined this band.  &quot;Break the Cycle&quot; which is the #1 album in the country 2 weeks in row, I am sure will get word of",1.0,negative,SNAP Amazon Digital Music 5-core
uci_amazon_cells_labelled_987,amazon_cells_labelled,Phone falls out easily.,1.0,negative,UCI Sentiment Labelled Sentences (amazon_cells_labelled)
uci_imdb_labelled_719,imdb_labelled,"Top line: Don't waste your time and money on this one, its as bad as it comes.  ",1.0,negative,UCI Sentiment Labelled Sentences (imdb_labelled)
A4MBICSNR9ZP0,B000001I0O,"Okay, Beauty & The Beat, the debut and quissessential disc by the Go-Go's does have this release on CD by IRS Records but while their next two albums 1982's Vacation and 1984's Talk Show got a huge remastering treatment on their releases, this album lacks the sound quality of those discs. Why I ask ",5.0,positive,SNAP Amazon Digital Music 5-core
AEEIFVNVUBHO4,B00064200S,This album is crap. Jus pure Bull sh#t. T.I. can't rap n his song r lazy. U southerners aint got no taste in good music because ur drunk wit crunk n have no sense in good lyrical rappaz,1.0,negative,SNAP Amazon Digital Music 5-core
uci_amazon_cells_labelled_496,amazon_cells_labelled,Works as described.,5.0,positive,UCI Sentiment Labelled Sentences (amazon_cells_labelled)
uci_amazon_cells_labelled_595,amazon_cells_labelled,"What possesed me to get this junk, I have no idea...",1.0,negative,UCI Sentiment Labelled Sentences (amazon_cells_labelled)
AJCLOJC4Q7W0G,B0000072SX,"NEEDED THIS ONE FOR MY MUSIC LIBRARY,TO COMPLETE THE RAY PARKER JR.WORK ,I HAD THE ALBUM FORM,NOW I HAVE THE CD,TO PUT INTO MY I-TUNES MUSIC ELECTRONIC LIBRARY",3.0,neutral,SNAP Amazon Digital Music 5-core
uci_yelp_labelled_484,yelp_labelled,Delicious and I will absolutely be back!,5.0,positive,UCI Sentiment Labelled Sentences (yelp_labelled)
A1HUN1WSQZQJ4H,B000001Y73,"One reviewer stated that if it wasn't for Wynona's Big Brown Beaver, this album would be a flop. That is mostly true. The song Southbound Pachyderm is somewhat overrated, it isn't nearly as good as My Name is Mud. The video is really cool, but that doesn't relate. All these songs need to be listened",3.0,neutral,SNAP Amazon Digital Music 5-core
A9Q28YTLYREO7,B000002IH8,OTTIS REDDING SOunds Fantastic.His VOice is in Top Form.The SOngs&amp;Material Here are Very Soulful.This is a Must Have.The Best Cut is A Waste Of Time.The Staxx Vibe is in The House.,5.0,positive,SNAP Amazon Digital Music 5-core
A37GGSMH6KLS5N,B00006690F,I never really understood why this guy is so overhyped. Maybe it's because the trendy suburban crowd finally have an idol they can worship because of his skin color. Interscope catered to the sheltered suburban sheep with this one. Now all the suburban little boys and girls can pretend that they're ,1.0,negative,SNAP Amazon Digital Music 5-core
AMI38N7KLK80U,B00006ZCFI,"I only like &quot;Hovi Baby,&quot; &quot;'03 Bonnie And Clyde&quot; with Beyonce Knowles, &quot;Excuse Me Miss&quot; with Pharrell Williams, and &quot;Poppin' Tags&quot; with Big Boi, Killer Mike, and Twista. I'm just glad I didn't waste my money on it.",3.0,neutral,SNAP Amazon Digital Music 5-core
uci_amazon_cells_labelled_614,amazon_cells_labelled,the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,1.0,negative,UCI Sentiment Labelled Sentences (amazon_cells_labelled)
A20HN3O303LWPS,B000005Z0E,"I would like to start by saying that I'm one of the realest 2pac followers in this planet. He's my favorite rapper along with Daz, Krayzie Bone, TQ, Kurupt, Too Short and all those G-funk dudes. I wanna be totally honest. This got to be the weakest `Pac album there is alongside ""R U Still Down"" (exc",3.0,neutral,SNAP Amazon Digital Music 5-core
ASSCA9IS0GWF5,B000001A5X,"I have a funny relationship with What's Going On; listening to it, I can totally understand the rave reviews, the adoring fans, the consistently high rankings in ""best albums of all time"" type surveys. I totally dig that this album  kinda sorta revolutionized soul music, established Marvin Gaye as a",3.0,neutral,SNAP Amazon Digital Music 5-core
A14DHJGIUSYKP6,B000084T18,By doing the same things that put pac on the charts 50 is on top of his game right.well dr dre and feminem are making him the best is so biutifle that his growing up @#!# 50,2.0,negative,SNAP Amazon Digital Music 5-core
A29O0RTLQBLMYP,B009G3T1J8,While I don't care for the lyrics...i bought this song because my son loves it! It is because of the beat. The beat is phat...but the song is wack. lol,3.0,neutral,SNAP Amazon Digital Music 5-core
uci_amazon_cells_labelled_372,amazon_cells_labelled,Battery life is also great!,5.0,positive,UCI Sentiment Labelled Sentences (amazon_cells_labelled)
uci_amazon_cells_labelled_511,amazon_cells_labelled,You never know if you pushed it hard enough or the right number of times for the function you want or not.,1.0,negative,UCI Sentiment Labelled Sentences (amazon_cells_labelled)
A1EAFFJQ2NDHGC,B000002HKU,"Although not a stellar effort, Looking East is respectable. For me, the songs Looking East, Barricades of Heaven, and Culver Moon have lasting repeat-play value. The rest of the album is an entertaining listen once through at least.Barricades is a great song, and like many great songs, I cannot expl",3.0,neutral,SNAP Amazon Digital Music 5-core
A1OU2JGCPQBKH0,B00000I2PG,"After doing some research I discovered that the U.S. 2002 digitally remastered reissue of ABC's classic 1982 'The Lexicon Of Love' album is the exact same as the U.K. 1998 digitally remastered issue.  I own the U.S. release, which has a 1982 and 1998 Mercury Records Ltd. (London) copyright.  However",5.0,positive,SNAP Amazon Digital Music 5-core
uci_imdb_labelled_468,imdb_labelled,I was deeply impressed with the character he played.  ,5.0,positive,UCI Sentiment Labelled Sentences (imdb_labelled)
uci_amazon_cells_labelled_482,amazon_cells_labelled,"After charging overnight, these batteries work great.",5.0,positive,UCI Sentiment Labelled Sentences (amazon_cells_labelled)
A1V2N0Z4ABZ2GX,B000046PZM,"Or Radiohead Lite, whichever you prefer.  Sweet soaring melodies, great production, but lame lyrically.This is a pleasant enough disc, but it has no edge, nothing that grabs you.  Comparisons to Radiohead are far  fetched.  Travis isn't on the same planet musically or artistically.",3.0,neutral,SNAP Amazon Digital Music 5-core
uci_amazon_cells_labelled_257,amazon_cells_labelled,Great Earpiece.,5.0,positive,UCI Sentiment Labelled Sentences (amazon_cells_labelled)
uci_yelp_labelled_130,yelp_labelled,This place is way too overpriced for mediocre food.,1.0,negative,UCI Sentiment Labelled Sentences (yelp_labelled)
A303AR58MOOYAV,B0000AGWFX,"Let me say it right up front.  I'm not a fan of rap music.  Once and a while, there will be a rap song on the radio where I'll think it's cool, but then I get bored with it real quick.  One of the only exceptions for this is songs by Outkast.  It seems like just about all of their songs that get pla",3.0,neutral,SNAP Amazon Digital Music 5-core
A11CNSUROWGLEG,B00006ZCFI,"I picked this up for free (lucky) cuz my boss gave me a $100 dollar voucher for music... i thought i'd get this with the voucher, cuz i didn't want to spend hard money on it...i find this cd to be headbopping, unless i listen to the lyrics which is mostly minus dribble with a descent flow... it seem",1.0,negative,SNAP Amazon Digital Music 5-core
AGEZJWP6KGIUU,B001EYGOEM,Nice collection of Taylor's music.  She has her own sound and I enjoy it.  You should enjoy it as well.,5.0,positive,SNAP Amazon Digital Music 5-core
A206I2W4LFQ778,B00005M987,"When you consider Michelle from the rest of all the girl singers, you actually giet a singer who knows what to sing about. She misses the &quot;teen-pop&quot; catagory, and yet misses the &quot;hard-rock&quot;. She is right in the middle, which makes her record just right. &quot;All You Wanted&quot;",5.0,positive,SNAP Amazon Digital Music 5-core
uci_amazon_cells_labelled_423,amazon_cells_labelled,I'm using it with an iriver SPINN (with case) and it fits fine.,5.0,positive,UCI Sentiment Labelled Sentences (amazon_cells_labelled)
A1143SNKOV0ZIT,B00009VRDI,"This album is nothing really to brag about but it's just okay.  Ashanti was never really a big fan of mine but sometimes she releases good singles.  My favorite tracks from this album are &quot;Break up 2 Make up&quot;, &quot;I found Lovin&quot;, and &quot;Rain on me&quot;.  The first single off thi",3.0,neutral,SNAP Amazon Digital Music 5-core
A20CSFERC3VINT,B000001DU5,"I love Tears for Fears. My favorite songs are Sowing the Seeds of Love, Everybody Wants to Rule the World, Shout, Head Over Heels, Mad World, Pale Shelter, and Change. I really don't care for the other songs on the album so that's why I am giving it 4 stars. Very good new wave 80s music.",4.0,positive,SNAP Amazon Digital Music 5-core
A467QR5AKOIW3,B0000024MU,"Reasonable Doubt was probably the best CD Jay-Z ever put out so we all expected In My Lifetime to be just as good or better right?? WRONG.  With 1 less track then Reasonble Doubt (not that it matters) this CD just doesn't sound good coming out of an extremly talented rapper, even the beats aren't re",2.0,negative,SNAP Amazon Digital Music 5-core
A3KJ6JAZPH382D,B0040318MC,"This is interesting in as much as Guster has recorded what amounts to a straight up pop album. It's light and breezy, non-confrontational, loaded with catchy tunes and pristine production, and super harmonies. It's also, unfortunately, utterly unmemorable.""Easy Wonderful"" is conventional pop without",3.0,neutral,SNAP Amazon Digital Music 5-core
A5DIAZ5GT3MC,B00005ONMT,"The price of commercial success is a hefty one. Jeffrey Atkins entered the game with a deep voice that when combined with his amazing flow made for some addictive guilty pleasure music. Despite comparisons to DMX, Rule dropped the entertaining debut, &quot;Venni Vetti Vecci&quot; where hits such as ",2.0,negative,SNAP Amazon Digital Music 5-core
A3A4M34UQDJPG9,B00004Z41Q,"What exactly is Nelly Furtado? Is she soul?  The track ""Legend"" appeared on the RED STAR SOUNDS compilation along with luminaries such as Erykah Badu, Amel Larrieux and Jill Scott.  Is she hip hop?  Jurassic5 and the Roots both invited her for appearances on albums.  Her Latin (Portuguese, to be exa",4.0,positive,SNAP Amazon Digital Music 5-core
A1XX5797TIZT5Q,B000003JCY,"Blondie's most compelling when rocking out.  Thus, the earliest material on Disc One of this collection is what stands out, a mixture of Deborah Harry's all-out sensuality and guitar fury.  At its rock-out best, Blondie  can almost match CBGBs colleague Television's intricacy and energy.But  Blondie",3.0,neutral,SNAP Amazon Digital Music 5-core
uci_amazon_cells_labelled_575,amazon_cells_labelled,"I can barely ever hear on it and am constantly saying ""what?""",1.0,negative,UCI Sentiment Labelled Sentences (amazon_cells_labelled)
uci_yelp_labelled_499,yelp_labelled,Waitress was sweet and funny.,5.0,positive,UCI Sentiment Labelled Sentences (yelp_labelled)
uci_yelp_labelled_920,yelp_labelled,"Needless to say, I won't be going back anytime soon.",1.0,negative,UCI Sentiment Labelled Sentences (yelp_labelled)
A32EDSKLEUZ3Y7,B0001LJC3E,I noticed that his lyrics are a tad better.I was a fan of Pastor Troy but he is far from a great rapper.He does try hardat least.He is a cult icon down in Georgia and has a ok albumLyrics 7/10 Production 7/10 X Factor 6/10 Classic 7/10 Me 7/10Overall-62 This album will pick up 3 Mics,3.0,neutral,SNAP Amazon Digital Music 5-core
uci_yelp_labelled_631,yelp_labelled,The roast beef sandwich tasted really good!,5.0,positive,UCI Sentiment Labelled Sentences (yelp_labelled)
A398G8OOGZMR69,B000002NAA,"Reading the title of this disc and then taking a quick scan over the track listing begs the question &quot;So when is volume 2 going to be released?&quot;. Namely because there is no &quot;(Oh) Pretty Woman&quot;, no &quot;Everybody Wants Some&quot; no &quot;You Really Got Me&quot;, no &quot;Where H",4.0,positive,SNAP Amazon Digital Music 5-core
